strain,antisigma,t_statistic,df,p_value,mean_diff,fold_diff,significance
GFC0242,AS17_t2,-7.670249837596776,2,0.016575898712742256,-0.3941318973915869,0.4035228224701591,*
GFC0241,AS17_t1,-3.0285117023711834,2,0.0939210016347668,-0.44857816515145305,0.3559769148639913,ns
GFC0237,AS14_t1,-0.9856308046656247,2,0.42822029867972455,-0.10648617103666103,0.7825531230119331,ns
GFC0238,AS14_t2,-0.4501757711607418,1,0.7307097802906513,-0.05279365944012265,0.8855362429530631,ns
GFC0239,AS15,-11.026801614011934,2,0.008124248058429035,-1.803144850534845,0.015734579804249218,**
GFC0240,AS16,-33.48281322818058,4.607499320370837,1.1121869842900433e-6,0.333333536208382,2.154435696448412,***
GFC0236,AS11_t2,-16.116807527935954,2,0.0038277434876214417,-0.41479099567593014,0.38477691147635834,**
GFC0243,AS20_t1,34.42619563768773,2,8.426994210193645e-4,1.5538076864831658,35.79379005736903,***
GFC0310,Ptet-lux,0.9064102966722981,2,0.4603916330582739,0.07902022372365389,1.1995551613475985,ns
GFC0207,Pbad-lux,-3.681428497037816,1,0.16885313988906334,-0.20926396573170858,0.6176408817032384,ns
GFC0244,AS20_t2,8.256272840069439,2,0.01435494067330293,1.7191384759249064,52.37674145658078,*
blank,blank,0.5674796841094146,9.600279613832198,0.5834137116797723,0.6199856754673525,4.168556339043992,ns
GFC0254,AS34_t1,-1.406566986164289,2,0.29481263596374796,-0.09189661186002579,0.8092885354685533,ns
GFC0255,AS34_t2,-0.22703959385136005,2,0.8414884662616537,-0.03526336426837897,0.9220121322466523,ns
GFC0245,AS22_t,7.616962318597007,2,0.0168028033515184,0.26955636657734167,1.8601859789374529,*
GFC0248,AS27_t1,0.37523486127584205,14.528015913027629,0.7129073524079406,2.500931741681464,316.9069339411848,ns
GFC0246,AS26_t1,0.3381296248535423,2,0.7674605355624542,0.009816583681826252,1.0228609144786467,ns
GFC0250,AS28_t1,4.697714789727352,2.310801969637429,0.03187787169721736,0.7584308702662969,5.733645927719539,*
GFC0247,AS26_t2,-5.530077388171276,2,0.031178058606268034,-0.04275463631690416,0.9062444579117414,*
GFC0251,AS28_t2,-1.2479009636613716,2,0.33835884661021476,-0.055683357894541444,0.8796636417894578,ns
GFC0253,AS31_t2,-2.2635356352250358,2,0.1519181489989996,-0.0714352799715603,0.8483297940000993,ns
GFC0252,AS31_t1,-18.794572952014153,2,0.002819003617245216,-2.4627395670917474,0.0034455648864562824,**
GFC0249,AS27_t2,1.019411082712405,12.996375052387279,0.3266101976359732,2.493029839478577,311.19301440659376,ns
GFC0256,AS37_t1,0.3880982203174565,1,0.7643206197152308,0.04936342199234428,1.1203750324050072,ns
GFC0257,AS37_t2,-23.368256902032993,1,0.027226318093851246,-0.5554589225265233,0.27831786066211633,*
GFC0258,AS38_t,-1.237363802751283,1,0.4327121685118524,-0.03223709272183228,0.9284593781284147,ns
GFC0235,AS11_t1,-20.45649750831065,6,8.873268776000717e-7,-0.4448736951292175,0.35902633427068936,***
SV01,wildtype,-1.0908705521711852,5,0.32508619115945353,-0.1206833078444936,0.7573849868891203,ns
