strain,antisigma,t_statistic,df,p_value,mean_diff,fold_diff,significance,inducer
GFC0734,AS20_t2+PpcaU-AS22_t,2.686074652825032,7.956357580113356,0.027800187119003183,0.842360750147171,6.956018848838702,*,aTc
GFC0735,AS22_t+PpcaU-AS20_t2,1.8281727316321876,4.317017758240171,0.13624935218066198,0.7081603340085241,5.106935043827445,ns,aTc
GFC0741,AS28_t1+PpcaU-AS31_t1,-0.7270820364450685,4.5250232253021725,0.5030220552812927,0.8173764660699494,6.567142892434654,ns,aTc
GFC0738,AS20_t2+PpcaU-AS28_t1,0.24477719374989768,2.5780721505877846,0.8247859680844892,0.7644669623108887,5.813892031341155,ns,aTc
GFC0739,AS20_t2+PpcaU-AS31_t1,0.520699954021714,3.9737729759640636,0.6302418732355436,0.9421334891202913,8.75252760378452,ns,aTc
GFC0743,AS31_t1+PpcaU-AS28_t1,-2.153761420153847,3.9127393738380127,0.09909763103565264,0.5920617256595864,3.908964494031258,ns,aTc
GFC0742,AS31_t1+PpcaU-AS20_t2,-1.3255331013385572,4.197735415093542,0.25253536336883686,0.6809834387653074,4.797151549970501,ns,aTc
GFC0740,AS28_t1+PpcaU-AS20_t2,5.255704269697689,5.202057683817905,0.0029433609144095267,2.0323353893097886,107.72968483450043,**,aTc
GFC0735,AS22_t+PpcaU-AS20_t2,1.6817025771045584,12.02897826734979,0.11838325895974026,0.5222072878263749,3.3281836888471337,ns,DHBA
GFC0734,AS20_t2+PpcaU-AS22_t,0.3628516254703082,11.034817070702676,0.7235702820541223,0.7165987930261909,5.207134468860494,ns,DHBA
GFC0739,AS20_t2+PpcaU-AS31_t1,-2.4228169234960513,4.077863135214409,0.07132576834422534,0.8085900412581148,6.435614792563018,ns,DHBA
GFC0741,AS28_t1+PpcaU-AS31_t1,-2.7982129338424815,7.728111034990634,0.024068921696909412,0.6155695710725236,4.12638333724829,*,DHBA
GFC0742,AS31_t1+PpcaU-AS20_t2,0.18080341222253127,3.061103464773005,0.867832337532743,0.631931078582868,4.284805162458027,ns,DHBA
GFC0738,AS20_t2+PpcaU-AS28_t1,-2.4488550485365415,2.569433732058287,0.10605459407808573,0.46046841821602186,2.887143819192555,ns,DHBA
GFC0743,AS31_t1+PpcaU-AS28_t1,-0.38924449302117564,9.693820062088557,0.7055087280142612,0.6819891355002344,4.8082731971378365,ns,DHBA
GFC0740,AS28_t1+PpcaU-AS20_t2,2.520027232699661,13.999548755290888,0.02449985278383934,1.8766524724881872,75.27529609584273,*,DHBA
